Regiao;Estado;Municipio;Produto;Data da Coleta;Valor de Venda
SE;MG;IPATINGA;GASOLINA ADITIVADA;01/03/22;7,146
SE;MG;IPATINGA;GASOLINA;01/03/22;6,996
SE;MG;IPATINGA;ETANOL;01/03/22;4,996
SE;MG;IPATINGA;GASOLINA ADITIVADA;01/03/22;7,146
SE;MG;IPATINGA;GASOLINA;01/03/22;6,995
SE;MG;IPATINGA;ETANOL;01/03/22;4,995
SE;MG;IPATINGA;GASOLINA ADITIVADA;01/03/22;7,095
SE;MG;IPATINGA;GASOLINA;01/03/22;6,97
SE;MG;IPATINGA;ETANOL;01/03/22;4,98
SE;MG;IPATINGA;GASOLINA ADITIVADA;01/03/22;7,094
SE;MG;MONTES CLAROS;GASOLINA;01/03/22;6,899
SE;MG;MONTES CLAROS;ETANOL;01/03/22;4,499
SE;MG;MONTES CLAROS;GASOLINA ADITIVADA;01/03/22;6,998
SE;MG;OURO PRETO;GASOLINA;01/03/22;6,69
SE;MG;OURO PRETO;ETANOL;01/03/22;4,69
SE;MG;OURO PRETO;GASOLINA ADITIVADA;01/03/22;6,69
SE;MG;PARACATU;GASOLINA;01/03/22;6,954
SE;MG;PARACATU;ETANOL;01/03/22;4,544
SE;MG;PARACATU;GASOLINA;01/03/22;7,129
SE;MG;PARACATU;ETANOL;01/03/22;4,568
SE;MG;PARACATU;GASOLINA ADITIVADA;01/03/22;7,149
SE;MG;PATOS DE MINAS;GASOLINA;01/03/22;6,897
SE;MG;PATOS DE MINAS;ETANOL;01/03/22;4,597
SE;MG;PATOS DE MINAS;GASOLINA ADITIVADA;01/03/22;6,897
SE;MG;PATOS DE MINAS;GASOLINA;01/03/22;6,89
SE;MG;PATOS DE MINAS;ETANOL;01/03/22;4,59
SE;MG;PATOS DE MINAS;GASOLINA ADITIVADA;01/03/22;6,89
SE;MG;PATOS DE MINAS;GASOLINA;01/03/22;6,85
SE;MG;PATOS DE MINAS;ETANOL;01/03/22;4,41
SE;MG;PATOS DE MINAS;GASOLINA ADITIVADA;01/03/22;6,85
SE;MG;PATOS DE MINAS;GASOLINA;01/03/22;6,89
SE;MG;PATOS DE MINAS;ETANOL;01/03/22;4,59
SE;MG;PATOS DE MINAS;GASOLINA ADITIVADA;01/03/22;6,89
SE;MG;PATOS DE MINAS;GASOLINA;01/03/22;6,798
SE;MG;PATOS DE MINAS;ETANOL;01/03/22;4,498
SE;MG;PATOS DE MINAS;GASOLINA ADITIVADA;01/03/22;6,848
SE;MG;PATOS DE MINAS;GASOLINA;01/03/22;6,998
SE;MG;PATOS DE MINAS;ETANOL;01/03/22;4,699
SE;MG;PATOS DE MINAS;GASOLINA ADITIVADA;01/03/22;7,098
