Regiao - Sigla;Estado - Sigla;Municipio;Produto;Data da Coleta;Valor de Venda
CO;GO;CALDAS NOVAS;GASOLINA ADITIVADA;03/01/22;6,97
CO;GO;ITUMBIARA;GASOLINA;03/01/22;6,68
CO;GO;ITUMBIARA;ETANOL;03/01/22;4,95
CO;GO;ITUMBIARA;GASOLINA ADITIVADA;03/01/22;6,71
CO;GO;ITUMBIARA;GASOLINA;03/01/22;6,59
CO;GO;ITUMBIARA;ETANOL;03/01/22;4,79
CO;GO;ITUMBIARA;GASOLINA;03/01/22;7,299
CO;GO;ITUMBIARA;ETANOL;03/01/22;5,569
CO;GO;ITUMBIARA;GASOLINA;03/01/22;6,79
CO;GO;ITUMBIARA;ETANOL;03/01/22;5,04
CO;GO;ITUMBIARA;GASOLINA ADITIVADA;03/01/22;6,79
CO;GO;ITUMBIARA;GASOLINA;03/01/22;6,68
CO;GO;ITUMBIARA;ETANOL;03/01/22;4,89
CO;GO;ITUMBIARA;GASOLINA;03/01/22;6,59
CO;GO;ITUMBIARA;ETANOL;03/01/22;4,79
CO;GO;RIO VERDE;GASOLINA;03/01/22;6,67
CO;GO;RIO VERDE;ETANOL;03/01/22;4,79
CO;GO;RIO VERDE;GASOLINA ADITIVADA;03/01/22;7,07
CO;GO;RIO VERDE;GASOLINA;03/01/22;6,99
CO;GO;RIO VERDE;ETANOL;03/01/22;5,09
CO;GO;RIO VERDE;GASOLINA ADITIVADA;03/01/22;7,09
CO;GO;RIO VERDE;GASOLINA;03/01/22;6,99
CO;GO;RIO VERDE;ETANOL;03/01/22;5,1
CO;GO;RIO VERDE;GASOLINA ADITIVADA;03/01/22;7,1
CO;GO;RIO VERDE;GASOLINA;03/01/22;6,67
CO;GO;RIO VERDE;ETANOL;03/01/22;4,79
CO;GO;TRINDADE;GASOLINA;03/01/22;6,69
CO;GO;TRINDADE;ETANOL;03/01/22;4,79
CO;GO;TRINDADE;GASOLINA;03/01/22;6,69
CO;GO;TRINDADE;ETANOL;03/01/22;4,79
SE;MG;CONSELHEIRO LAFAIETE;GASOLINA;03/01/22;6,899
SE;MG;CONSELHEIRO LAFAIETE;ETANOL;03/01/22;5,199
SE;MG;CONSELHEIRO LAFAIETE;GASOLINA;03/01/22;6,979
SE;MG;CONSELHEIRO LAFAIETE;ETANOL;03/01/22;5,239
SE;MG;CONSELHEIRO LAFAIETE;GASOLINA ADITIVADA;03/01/22;6,979
SE;MG;CONTAGEM;GASOLINA;03/01/22;6,789
SE;MG;CONTAGEM;ETANOL;03/01/22;5,279
SE;MG;CONTAGEM;GASOLINA;03/01/22;6,898
SE;MG;CONTAGEM;ETANOL;03/01/22;5,298
SE;MG;CONTAGEM;GASOLINA ADITIVADA;03/01/22;6,998
SE;MG;CONTAGEM;GASOLINA;03/01/22;6,749
SE;MG;CONTAGEM;ETANOL;03/01/22;5,199
SE;MG;CONTAGEM;GASOLINA;03/01/22;6,749
SE;MG;CONTAGEM;ETANOL;03/01/22;5,199
SE;MG;CONTAGEM;GASOLINA ADITIVADA;03/01/22;6,869
SE;MG;CONTAGEM;GASOLINA;03/01/22;6,748
SE;MG;CONTAGEM;ETANOL;03/01/22;5,198
SE;MG;CONTAGEM;GASOLINA ADITIVADA;03/01/22;6,848
SE;MG;CONTAGEM;GASOLINA;03/01/22;6,745
SE;MG;CONTAGEM;ETANOL;03/01/22;5,195
SE;MG;CONTAGEM;GASOLINA ADITIVADA;03/01/22;6,945
SE;MG;CONTAGEM;GASOLINA;03/01/22;6,749
SE;MG;CONTAGEM;ETANOL;03/01/22;5,199
SE;MG;CONTAGEM;GASOLINA ADITIVADA;03/01/22;6,879
SE;MG;CONTAGEM;GASOLINA;03/01/22;6,749
SE;MG;CONTAGEM;ETANOL;03/01/22;5,199
SE;MG;CONTAGEM;GASOLINA ADITIVADA;03/01/22;6,879
SE;MG;DIVINOPOLIS;GASOLINA;03/01/22;6,994
SE;MG;DIVINOPOLIS;ETANOL;03/01/22;5,29
SE;MG;DIVINOPOLIS;GASOLINA;03/01/22;6,899
SE;MG;DIVINOPOLIS;ETANOL;03/01/22;5,159
SE;MG;DIVINOPOLIS;GASOLINA ADITIVADA;03/01/22;6,899
SE;MG;JOAO MONLEVADE;GASOLINA;03/01/22;6,93
SE;MG;JOAO MONLEVADE;ETANOL;03/01/22;5,19
SE;MG;JOAO MONLEVADE;GASOLINA;03/01/22;7,049
SE;MG;JOAO MONLEVADE;ETANOL;03/01/22;5,349
SE;MG;JOAO MONLEVADE;GASOLINA ADITIVADA;03/01/22;7,049
SE;MG;JOAO MONLEVADE;GASOLINA;03/01/22;6,995
SE;MG;JOAO MONLEVADE;ETANOL;03/01/22;5,245
SE;MG;JOAO MONLEVADE;GASOLINA ADITIVADA;03/01/22;7,035
SE;MG;JOAO MONLEVADE;GASOLINA;03/01/22;6,99
SE;MG;JOAO MONLEVADE;ETANOL;03/01/22;5,299
SE;MG;JOAO MONLEVADE;GASOLINA;03/01/22;6,995
SE;MG;JOAO MONLEVADE;ETANOL;03/01/22;5,245
SE;MG;JOAO MONLEVADE;GASOLINA ADITIVADA;03/01/22;7,035
SE;MG;JUIZ DE FORA;GASOLINA;03/01/22;7,259
SE;MG;JUIZ DE FORA;ETANOL;03/01/22;5,579
SE;MG;JUIZ DE FORA;GASOLINA ADITIVADA;03/01/22;7,459
SE;MG;MONTES CLAROS;GASOLINA;03/01/22;6,998
SE;MG;MONTES CLAROS;ETANOL;03/01/22;4,999
SE;MG;MONTES CLAROS;GASOLINA ADITIVADA;03/01/22;7,098
SE;MG;PARA DE MINAS;GASOLINA;03/01/22;6,85
SE;MG;PARA DE MINAS;ETANOL;03/01/22;5,19
SE;MG;PARA DE MINAS;GASOLINA ADITIVADA;03/01/22;6,99
SE;MG;PARA DE MINAS;GASOLINA;03/01/22;6,84
SE;MG;PARA DE MINAS;ETANOL;03/01/22;5,29
SE;MG;PARA DE MINAS;GASOLINA ADITIVADA;03/01/22;6,94
SE;MG;PARA DE MINAS;GASOLINA;03/01/22;7,35
